ticketer,encoded_0,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7
AIZ,3.524433135986328,-6.221665859222412,-19.449872970581055,-9.488141059875488,-0.04886132478713989,12.548898696899414,17.686901092529297,-4.468682765960693
AJG,-1.0266389846801758,-9.355058670043945,-13.5616455078125,-12.541659355163574,-3.296544313430786,9.826119422912598,14.200862884521484,-6.344207286834717
AKAM,5.538020610809326,-4.98122501373291,-18.59571075439453,-10.272612571716309,-0.7514296174049377,15.292501449584961,18.641815185546875,0.051242128014564514
ALB,4.957996368408203,-3.974398136138916,-17.572111129760742,-9.556719779968262,-0.1744113564491272,11.190690994262695,17.675819396972656,-3.770772695541382
ALGN,8.82225227355957,-3.454578399658203,-19.473560333251953,-6.419437408447266,1.6075568199157715,11.97978401184082,19.5345458984375,6.365908145904541
ALL,3.1172127723693848,-1.821669340133667,-5.302269458770752,-4.720281600952148,-7.550605773925781,10.310714721679688,13.371973037719727,1.1977589130401611
ALLE,4.921604156494141,-5.7888078689575195,-13.885309219360352,-3.8541836738586426,-3.511108875274658,11.81220531463623,20.13912010192871,10.744579315185547
AMAT,4.264477729797363,-6.345702171325684,-20.68501091003418,-10.579988479614258,-0.8717182278633118,15.009651184082031,19.554351806640625,-1.5042502880096436
AMCR,6.442838668823242,-4.858218193054199,-20.001996994018555,-6.357638359069824,1.2172651290893555,13.853681564331055,20.143207550048828,2.6268088817596436
AMD,5.162559986114502,-6.302728652954102,-17.868881225585938,-10.952104568481445,-1.2128911018371582,11.548794746398926,19.97698974609375,-0.8096401691436768
AME,3.4893102645874023,-2.6282052993774414,-12.521331787109375,-8.505742073059082,-4.967372894287109,15.892154693603516,16.336837768554688,1.947629690170288
AMGN,6.520358085632324,-3.8469414710998535,-17.40818977355957,-9.75832748413086,0.39621609449386597,10.968379974365234,19.061689376831055,0.19376827776432037
AMP,5.9390668869018555,-4.621638774871826,-18.21004295349121,-8.014790534973145,-0.1703854203224182,11.21660327911377,19.708227157592773,-1.085758924484253
AMT,5.5065813064575195,-2.859793186187744,-19.910629272460938,-9.0789155960083,0.3115214705467224,12.557878494262695,19.12230682373047,-1.6045615673065186
AMZN,3.9281091690063477,-5.923664569854736,-17.371137619018555,-11.610941886901855,-1.435924768447876,12.047806739807129,18.321561813354492,-3.1606836318969727
ANET,7.981661796569824,-1.7213950157165527,-18.637239456176758,-4.59426212310791,1.0075757503509521,15.20168399810791,18.469154357910156,5.089177131652832
ANSS,2.7619686126708984,-6.714554786682129,-20.3874454498291,-12.264494895935059,-0.08744913339614868,12.19171142578125,18.140655517578125,-3.773866891860962
AON,7.430195331573486,-2.430943012237549,-18.38457489013672,-6.319814205169678,0.504436194896698,12.19697380065918,20.7575740814209,4.83634090423584
AOS,5.971814155578613,-2.8648972511291504,-16.5520076751709,-6.876420974731445,-0.3160744309425354,12.083328247070312,17.56659507751465,-2.023852586746216
APA,3.5386171340942383,-8.042591094970703,-18.173784255981445,-9.869956970214844,-4.1067399978637695,12.583333969116211,21.585018157958984,0.27379631996154785
APD,-12.398075103759766,-11.060297966003418,-9.28006362915039,-10.967400550842285,-6.433785438537598,2.105085849761963,4.373895645141602,-4.901855945587158
APH,6.78245735168457,-0.659879744052887,-16.870716094970703,-5.929128170013428,0.7765125632286072,11.832578659057617,18.342548370361328,1.4370508193969727
APO,4.293150901794434,-5.936819076538086,-19.831195831298828,-11.577990531921387,-0.5661631226539612,13.157249450683594,19.491003036499023,-1.9990758895874023
APTV,4.200811386108398,-5.577505111694336,-19.89737892150879,-11.817316055297852,0.35447925329208374,12.368535995483398,18.75852394104004,-2.252366781234741
ARE,4.466946125030518,-5.509243011474609,-8.71603012084961,-2.4537136554718018,-5.053262710571289,9.85409927368164,17.414623260498047,10.624574661254883
ATO,6.933877944946289,-2.9600892066955566,-15.270346641540527,-3.0810546875,-1.2908830642700195,15.293769836425781,17.680744171142578,8.159395217895508
AVB,5.061954975128174,-2.66717529296875,-20.795490264892578,-5.445492744445801,1.1810176372528076,14.72037410736084,17.59538459777832,-2.3552911281585693
AVGO,5.923273086547852,-8.2185640335083,-18.015703201293945,-9.8677339553833,-0.09114962816238403,18.739850997924805,13.598113059997559,0.346158504486084
AVY,3.0259108543395996,-5.979241371154785,-19.67466163635254,-12.762720108032227,0.5939516425132751,11.594133377075195,17.667612075805664,-3.550415277481079
AWK,5.942729473114014,-5.016311168670654,-17.09285545349121,-8.302547454833984,-1.7066307067871094,12.847949981689453,20.118196487426758,0.7571938037872314
AXON,7.222586631774902,-0.174747496843338,-15.360956192016602,-4.576442718505859,0.22245711088180542,13.248153686523438,17.5987548828125,3.270850658416748
AXP,3.59213924407959,-5.041412353515625,-19.184911727905273,-12.43653392791748,0.9029168486595154,12.006321907043457,17.97348403930664,-1.9088504314422607
AZO,4.576712608337402,-7.137928485870361,-19.540084838867188,-10.788743019104004,-0.3602476716041565,13.838403701782227,18.73655891418457,-1.7637431621551514
